gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
5047,1,5,11/7/1907,6/25/2018,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL ELECTRIC CO,GE,369604103,40545,9997,999977
4503,1,5,10/1/1928,8/28/2020,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,EXXON MOBIL CORP,XOM,30231G102,34088,2911,324110
3144,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,COCA-COLA CO,KO,191216100,21344,2086,312111
6066,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTL BUSINESS MACHINES CORP,IBM,459200101,51143,7370,519130
8762,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,PROCTER & GAMBLE CO,PG,742718109,80424,2840,325611
4087,1,5,11/20/1935,8/31/2017,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DU PONT (E I) DE NEMOURS,DD.2,263534109,30554,2820,3252
1356,1,5,6/1/1959,9/22/2013,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,ALCOA INC,AA.3,13817507,,3720,3364
10983,1,5,5/1/1975,8/28/2020,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,RAYTHEON TECHNOLOGIES CORP,RTX,7.55E+105,101829,3724,336412
7435,1,5,8/9/1976,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,3M CO,MMM,88579Y101,66740,2670,322220
7257,1,5,6/29/1979,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MERCK & CO,MRK,58933Y105,310158,2834,325412
1447,1,5,8/30/1982,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AMERICAN EXPRESS CO,AXP,25816109,4962,6141,522210
7154,1,5,10/30/1985,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MCDONALD'S CORP,MCD,580135101,63908,5812,722513
2285,1,5,3/12/1987,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,BOEING CO,BA,97023105,12927,3721,336411
2817,1,5,5/6/1991,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CATERPILLAR INC,CAT,149123101,18230,3531,333120
3980,1,5,5/6/1991,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DISNEY (WALT) CO,DIS,254687106,1744489,4888,515120
6266,1,5,3/17/1997,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,JOHNSON & JOHNSON,JNJ,478160104,200406,2834,325412
11259,1,5,3/17/1997,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,WALMART INC,WMT,931142103,104169,5331,452319
5606,1,5,3/17/1997,9/22/2013,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,HP INC,HPQ,40434L105,47217,3570,33411
5680,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,HOME DEPOT INC,HD,437076102,354950,5211,444110
6008,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTEL CORP,INTC,458140100,50863,3674,334413
12141,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MICROSOFT CORP,MSFT,594918104,789019,7372,511210
9899,1,5,11/1/1999,3/18/2015,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AT&T INC,T,00206R102,732717,4812,517312
2968,1,5,1/2/2001,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,JPMORGAN CHASE & CO,JPM,46625H100,19617,6020,522110
2136,1,5,4/8/2004,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,VERIZON COMMUNICATIONS INC,VZ,92343V104,732712,4812,517312
8530,1,5,4/8/2004,8/28/2020,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,PFIZER INC,PFE,717081103,78003,2834,325412
2991,1,5,2/19/2008,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CHEVRON CORP,CVX,166764100,93410,2911,324110
7647,1,5,2/19/2008,9/22/2013,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,BANK OF AMERICA CORP,BAC,60505104,70858,6020,522110
142953,1,5,9/22/2008,9/23/2012,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MONDELEZ INTERNATIONAL INC,MDLZ,609207105,1103982,2052,311821
20779,1,5,6/8/2009,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CISCO SYSTEMS INC,CSCO,17275R102,858877,3576,334210
62689,5,5,6/8/2009,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,TRAVELERS COS INC,TRV,8.94E+113,86312,6331,524126
10903,1,5,9/24/2012,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,UNITEDHEALTH GROUP INC,UNH,91324P102,731766,6324,524114
7906,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,NIKE INC  -CL B,NKE,654106103,320187,3021,316210
114628,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GOLDMAN SACHS GROUP INC,GS,38141G104,886982,6211,523110
179534,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,VISA INC,V,92826C839,1403161,6099,522320
1690,1,5,3/19/2015,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,APPLE INC,AAPL,37833100,320193,3663,334220
4060,1,5,9/1/2017,4/1/2019,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DUPONT DE NEMOURS INC,DD,26614N102,1666700,2860,325199
11264,1,5,6/26/2018,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,1618921,5912,446110
34443,1,5,4/2/2019,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DOW INC,DOW,260557103,1751788,2821,325211
