Date,SPY,DIA,QQQ,AGG,GLD,IWM,YLD
8/1/2015,180.30658,147.36232,99.608696,95.726776,107.730003,107.580185,29.92305
9/1/2015,173.48941,145.548752,97.173645,96.494499,106.860001,101.977043,29.337799
10/1/2015,190.098633,158.273941,108.485481,96.576874,109.300003,108.020004,30.395014
11/1/2015,189.916611,159.011826,109.145966,96.192108,101.919998,111.541389,29.787754
12/1/2015,185.530243,156.610016,107.078308,95.672821,101.459999,105.472633,29.168709
1/1/2016,177.342529,148.296478,99.98317,97.390137,106.949997,96.844185,28.293352
2/1/2016,177.196014,148.907089,98.418083,98.049187,118.639999,96.627869,28.221687
3/1/2016,188.144913,160.04686,104.85125,98.914482,117.639999,104.058594,30.032963
4/1/2016,189.860657,161.253235,101.810966,99.167099,123.650002,106.116432,30.698898
5/1/2016,193.0905,161.424881,106.260132,99.195869,116.059998,108.493828,30.610962
6/1/2016,192.759201,163.22345,103.563675,101.103264,126.470001,108.474983,31.158566
7/1/2016,200.828354,168.237808,111.2649,101.662552,128.979996,114.220451,32.313709
8/1/2016,201.068863,168.186996,112.433258,101.448776,124.779999,116.896759,32.821472
9/1/2016,200.069885,167.716751,114.634804,101.499474,125.639999,117.826393,32.894634
10/1/2016,197.59436,166.562958,113.24736,100.674286,121.940002,112.720543,32.784538
11/1/2016,204.873474,176.142761,113.741035,98.083565,111.75,125.191116,32.29073
12/1/2016,207.801788,182.279007,114.689697,98.105537,109.610001,128.273102,33.048695
1/1/2017,212.76709,183.462372,120.941452,98.728371,115.550003,129.165161,33.813366
2/1/2017,221.127014,192.548233,126.232712,99.165985,119.230003,131.658066,34.420162
3/1/2017,220.444382,191.550354,128.523956,99.11026,118.720001,131.314209,34.195736
4/1/2017,223.60112,194.472794,132.303406,100.00679,120.769997,133.205856,34.494667
5/1/2017,226.75676,195.501556,137.459747,100.679672,120.620003,130.581238,34.654579
6/1/2017,227.094879,199.102768,133.908707,100.67057,118.019997,134.987534,35.079781
7/1/2017,232.892838,204.577957,139.726776,101.010963,120.75,135.552689,35.355648
8/1/2017,233.572357,205.569458,142.624146,101.957397,125.82,134.425827,35.222942
9/1/2017,237.102036,210.106476,141.892471,101.376175,121.580002,142.555038,35.737255
10/1/2017,243.893478,219.768097,148.753479,101.476494,120.669998,143.941727,35.716465
11/1/2017,251.348328,228.612274,151.686523,101.427017,121.099998,148.175308,35.948471
12/1/2017,253.102966,233.444839,152.282928,101.769058,123.650002,147.027695,35.559437
1/1/2018,268.734192,247.277664,165.964752,100.871025,127.650002,151.360123,36.244499
2/1/2018,258.962952,236.777573,163.819183,99.629967,125,145.542297,35.631062
3/1/2018,250.85997,229.034729,156.882751,100.302422,125.790001,146.97496,35.189865
4/1/2018,253.166336,229.586136,157.932129,99.352097,124.589996,148.76001,35.559132
5/1/2018,259.320587,232.219818,166.891495,100.009819,123.099998,157.92894,35.882153
6/1/2018,259.645996,231.492157,168.44194,100.104958,118.650002,158.899185,35.867744
7/1/2018,270.474091,242.764755,173.522842,100.094254,115.989998,160.936737,36.274948
8/1/2018,279.107544,248.50502,183.55365,100.64135,113.510002,168.482025,36.849613
9/1/2018,279.50177,253.388977,182.707916,100.036339,112.760002,164.129242,36.700829
10/1/2018,261.364807,241.222321,167.303375,99.3713,115.150002,146.482666,35.770302
11/1/2018,266.212921,245.520905,166.860031,99.885391,115.540001,149.011429,35.695988
12/1/2018,241.3638,224.616241,151.973969,101.918602,121.25,130.734039,34.602909
1/1/2019,262.211121,241.563553,166.141968,103.298843,124.75,146.022659,36.16061
2/1/2019,270.710846,250.588989,171.111603,102.923965,123.989998,153.585373,36.717064
3/1/2019,274.402283,251.130981,177.503952,105.108643,122.010002,149.970535,37.075153
4/1/2019,286.87027,258.131744,187.606171,104.907684,121.199997,155.477936,37.646343
5/1/2019,268.576202,241.212067,172.175247,106.913139,123.330002,143.268784,36.719528
6/1/2019,285.875031,258.987793,184.834778,108.091911,133.199997,152.737534,37.817146
7/1/2019,291.608765,262.212036,189.568497,108.298454,133.210007,154.320786,38.19009
8/1/2019,286.726257,258.136566,185.96759,111.304016,143.75,146.711212,37.942917
9/1/2019,290.9617,263.765381,187.296814,110.626221,138.869995,149.17543,38.388992
10/1/2019,298.766663,265.672607,195.894791,110.862137,142.429993,153.765259,38.635555
11/1/2019,309.581451,276.133209,203.866577,110.827728,137.860001,160.016769,39.100864
12/1/2019,317.017883,280.730682,211.33139,110.591873,142.899994,163.874481,39.596363
1/1/2020,318.447845,278.940979,218.22467,113.274811,149.330002,159.372742,39.617008
2/1/2020,293.237701,251.542633,205.005859,114.825989,148.380005,145.275101,37.559185
3/1/2020,255.120544,217.227921,189.665268,114.228287,148.050003,113.634857,31.587566
4/1/2020,289.207336,241.721725,218.529984,116.180077,158.800003,129.870819,34.319244
5/1/2020,302.986694,252.86319,232.954895,116.978233,162.910004,138.43187,35.608276
6/1/2020,307.008972,256.924469,247.170181,117.772385,167.369995,142.697449,35.81348
7/1/2020,320.880005,264.481201,255.559998,119.054977,178.699997,146.080002,37.033222
