Date,AAPL,AGG,AMD,BA,BAC,C,F,GE,GLD,IBM,KO,MSFT,PFE,SPY,TSLA
20150130,0.061424,0.020523,-0.037453,0.118403,-0.153158,-0.132138,-0.04129,-0.05461,0.086899,-0.04444,-0.02487,-0.130248,0.00321,-0.029629,-0.084574
20150227,0.100461,-0.008933,0.210117,0.043957,0.043564,0.116507,0.110809,0.09753,-0.059052,0.063466,0.051737,0.093069,0.1072,0.056205,-0.001277
20150331,-0.031372,0.003738,-0.138264,-0.005104,-0.023403,-0.017169,-0.01224,-0.045402,-0.021522,-0.008892,-0.055889,-0.072862,0.013695,-0.015661,-0.071653
20150430,0.005786,-0.003224,-0.156716,-0.044909,0.035088,0.034938,-0.011772,0.091495,-0.001672,0.067227,0.000247,0.196409,-0.02472,0.009834,0.197489
20150529,0.045146,-0.004365,0.00885,-0.013325,0.035782,0.015191,-0.039873,0.007016,0.005552,-0.001985,0.009862,-0.030222,0.03242,0.012856,0.109489
20150630,-0.037266,-0.010744,0.052632,-0.01281,0.034545,0.02145,-0.010547,-0.017235,-0.015162,-0.041202,-0.03418,-0.057832,-0.035108,-0.020176,0.069617
20150731,-0.032888,0.008608,-0.195833,0.039288,0.050529,0.059196,-0.001999,-0.017689,-0.06621,-0.004119,0.047158,0.057758,0.075455,0.022589,-0.007866
20150831,-0.066117,-0.003353,-0.062176,-0.087258,-0.08613,-0.085186,-0.064734,-0.049042,0.037072,-0.079017,-0.042843,-0.061456,-0.098724,-0.06095,-0.064212
20150930,-0.021816,0.008101,-0.049724,0.002066,-0.043452,-0.072363,-0.021629,0.025383,-0.018011,-0.019744,0.028739,0.017004,-0.02514,-0.025328,-0.00265
20151030,0.083409,0.000685,0.232558,0.130737,0.077022,0.072768,0.102432,0.146709,0.022834,-0.033731,0.055583,0.189336,0.076727,0.08506,-0.166948
20151130,-0.00569,-0.003887,0.113208,-0.011549,0.038737,0.017303,-0.032411,0.03527,-0.067521,0.004569,0.014168,0.039324,-0.022768,0.003655,0.112743
20151231,-0.110228,-0.00191,0.216102,-0.005913,-0.031555,-0.043261,-0.016748,0.048096,-0.004513,-0.012911,0.007977,0.020791,-0.014953,-0.017291,0.042343
20160129,-0.075242,0.012406,-0.233449,-0.169168,-0.159834,-0.176232,-0.124202,-0.065811,0.054102,-0.093228,-0.000931,-0.00703,-0.055452,-0.049783,-0.203367
20160229,-0.001335,0.008852,-0.027273,-0.007159,-0.114569,-0.0876,0.047739,0.009278,0.109312,0.060421,0.004893,-0.069886,-0.017055,-0.00083,0.003818
20160331,0.127211,0.008679,0.331776,0.074124,0.083866,0.074646,0.079137,0.09094,-0.008429,0.155842,0.0837,0.085495,-0.001011,0.067212,0.197155
20160429,-0.139921,0.002585,0.245614,0.061919,0.076923,0.109701,0.015556,-0.032715,0.051088,-0.036382,-0.034275,-0.097049,0.103576,0.003945,0.04783
20160531,0.071368,0.000137,0.287324,-0.056083,0.015797,0.006266,-0.005162,-0.016911,-0.061383,0.06304,-0.004464,0.069982,0.070009,0.017008,-0.072811
20160630,-0.04266,0.01927,0.124726,0.029489,-0.099391,-0.089757,-0.068199,0.048958,0.089695,-0.012749,0.024215,-0.034528,0.014697,0.0034,-0.049053
20160729,0.090063,0.005483,0.33463,0.029183,0.091937,0.037273,0.019093,-0.010801,0.019847,0.058242,-0.037503,0.10768,0.047714,0.036496,0.106039
20160831,0.023606,-0.002153,0.078717,-0.023343,0.119048,0.089706,-0.004739,0.003211,-0.032563,-0.002117,-0.004584,0.020113,-0.048523,0.001198,-0.097023
20160930,0.065504,0.000511,-0.066216,0.01769,-0.030359,-0.010683,-0.042064,-0.044494,0.006892,-0.000189,-0.017499,0.002436,-0.026724,0.00001,-0.03764
20161031,0.004334,-0.008156,0.04631,0.081145,0.054313,0.040652,-0.014913,-0.017556,-0.029449,-0.032483,0.00189,0.040278,-0.063773,-0.017337,-0.030878
20161130,-0.021578,-0.025609,0.232365,0.064734,0.284546,0.150559,0.018739,0.057045,-0.083566,0.064611,-0.040094,0.012183,0.023021,0.036838,-0.042128
20161230,0.047955,0.002518,0.272727,0.034006,0.046401,0.05391,0.014214,0.035111,-0.01915,0.02324,0.027509,0.031198,0.010579,0.020324,0.128247
20170131,0.047746,0.002128,-0.085538,0.049717,0.024434,-0.060575,0.035449,-0.060127,0.054192,0.051389,0.002653,0.040393,-0.023091,0.017895,0.178951
20170228,0.133581,0.006446,0.394407,0.111553,0.090106,0.074154,0.013754,0.011784,0.031848,0.038391,0.009382,-0.004331,0.085408,0.039292,-0.007701
20170331,0.04869,-0.000549,0.006224,-0.018698,-0.041126,0.000167,-0.071029,-0.000335,-0.004277,-0.031587,0.020257,0.029384,0.002638,0.001282,0.113244
