Date,MAR,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,DXCM,EA,EBAY,EXC,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LBTYA,LBTYK,LRCX,LULU,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TMUS,TSLA,TTWO,TXN,ULTA,VRSK,VRSN,VRTX,WDAY,WDC,XEL,XLNX,SPRTRN
20140131,-0.001033,-0.107697,-0.011507,-0.052229,-0.051969,0.018502,0.039902,0.1945,-0.048643,-0.113695,0.042689,-0.100554,-0.099427,-0.096798,-0.03926,0.033255,-0.120193,0.118281,-0.020896,0.007133,0.013271,0.020631,0.014434,0.001755,0.047821,-0.055957,-0.064666,-0.015604,-0.064651,-0.042289,-0.040305,-0.145138,-0.104573,0.142615,0.150828,-0.030347,0.058781,-0.067183,-0.07009,0.144943,-0.050804,-0.09711,-0.095252,0.073902,0.053769,0.074175,0.374446,0.294094,-0.054517,-0.037736,0.061185,-0.046385,-0.10191,-0.059179,-0.070523,-0.225987,0.002458,-0.071955,-0.104833,0.001918,0.011494,0.05931,0.084588,0.111796,0.032815,-0.046183,-0.019975,0.052689,0.017636,-0.073797,-0.053574,-0.031107,-0.000404,0.048503,-0.093687,-0.092741,0.124593,0.025788,-0.017501,0.121742,0.059174,-0.09126,0.205951,0.104203,-0.027556,-0.111997,-0.028302,-0.01723,0.063795,0.07672,0.027056,0.034717,0.010889,-0.035583
20140228,0.103448,0.057311,0.159486,0.060493,0.015405,0.024,-0.11932,0.113841,0.133175,0.081633,0.047751,0.009507,0.063543,0.017842,0.129597,0.129261,0.092204,0.089688,0.175958,0.085694,0.107414,0.078748,0.030414,-0.074672,-0.050689,0.042275,0.062719,-0.005021,0.035303,0.062905,0.07378,0.110597,0.084125,0.114681,0.082955,0.104699,0.05931,0.208526,0.074209,0.094135,0.035682,0.041933,0.054054,0.026534,0.029366,0.101873,0.128224,-0.019231,0.018134,0.066894,0.091393,0.067187,0.082823,0.067188,0.02213,0.101116,0.023295,0.038767,0.079697,0.089838,0.01982,0.049913,0.089557,0.088682,-0.045583,-0.058557,0.176115,0.162978,0.151703,-0.001435,0.179286,-0.003609,0.014417,0.152154,0.072007,0.001406,0.172314,0.00838,0.013547,0.204076,0.172231,-0.00229,0.349485,0.030761,0.060377,0.046436,-0.002271,-0.061957,0.023026,0.227608,0.009516,0.047734,0.129901,0.043117
20140331,0.033008,0.019953,-0.04211,0.045651,-0.000514,-0.062881,-0.010319,-0.139536,0.076741,0.080863,-0.005483,-0.071072,-0.077826,0.083817,0.066667,0.048298,-0.109167,-0.102178,-0.157901,0.013699,0.048529,-0.083428,0.003115,-0.028161,-0.027568,-0.043836,-0.001098,0.028211,0.045471,-0.01731,-0.027484,-0.043464,-0.047289,-0.082927,0.01469,-0.060065,0.103584,-0.074876,0.044713,-0.12007,-0.023428,-0.040092,-0.043083,-0.1441,-0.083198,-0.035743,-0.133127,-0.167134,0.042569,-0.005374,-0.015377,0.061243,-0.05524,-0.038271,0.063213,0.045319,0.048518,0.019395,-0.085467,-0.061487,0.069956,-0.02191,0.012534,-0.21004,-0.08686,-0.027035,-0.025571,0.045883,-0.016308,0.020115,0.024301,0.049925,0.052065,-0.096902,-0.014148,0.034104,-0.133676,-0.113573,-0.049257,-0.229218,0.058094,0.082951,-0.148523,0.109256,0.048932,0.086409,-0.058934,-0.021775,-0.125402,-0.168213,0.058972,0.012215,0.039655,0.006932
20140430,0.034095,0.099396,-0.061606,-0.034814,0.00906,-0.023587,-0.027032,0.0399,-0.066373,0.01995,-0.093968,-0.095833,-0.009218,-0.119174,-0.021037,-0.014128,0.010376,-0.061301,-0.146313,0.001287,0.027332,-0.088,-0.052787,0.100081,0.034372,0.035817,-0.003298,0.039482,-0.025889,-0.011407,-0.053261,0.032556,-0.002108,-0.215667,-0.024474,-0.061731,0.043802,-0.020828,0.020893,-0.007636,0.072147,0.006427,0.001564,0.107677,0,0.041516,-0.08617,-0.092676,0.033935,-0.023028,-0.174182,-0.074487,-0.042788,-0.056006,0.047455,-0.12664,-0.004606,0.031838,-0.019346,-0.035853,-0.014394,0.103973,-0.020531,-0.085192,-0.030894,0.011738,0.031267,0.013773,0.002696,-0.018545,-0.051305,0.028623,-0.001902,-0.011289,-0.048763,-0.037612,-0.1554,-0.003156,-0.020568,-0.236676,0.094083,-0.11323,-0.002686,-0.070679,-0.029898,-0.099856,0.002168,-0.124838,-0.042704,-0.200809,-0.040732,0.049737,-0.130459,0.006201
20140530,0.06715,0.078293,0.046199,0.028466,0.022063,0.090587,0.083747,0.051328,0.064533,-0.022005,0.0434,0.027685,-0.037479,0.055166,0.038481,0.112913,0.077739,0.112322,-0.004637,0.072622,0.044785,0.053606,0.006556,0.05615,0.008501,0.006008,-0.0193,0.06534,0.047484,0.054132,0.014717,0.044849,0.018437,0.04069,0.241343,-0.021223,0.060234,0.034653,-0.026558,0.058883,-0.011023,0.100255,0.105871,0.034654,0.063096,0.016134,0.164888,0.020387,0.032034,0.046733,0.022228,0.030942,0.130588,0.113713,0.076896,-0.028304,0.00874,0.055259,-0.087917,0.036141,0.020297,0.094564,0.06381,0.297447,0.039315,0.050081,0.033297,0.041597,-0.005646,-0.008371,-0.006252,0.028408,0.022106,0.033918,0.005435,0.040782,-0.132796,0.028245,0.023126,-0.232912,0.057735,0.172072,-0.000577,0.012267,0.033663,-0.032037,-0.014978,0.061467,0.067356,0.072533,-0.002611,-0.034829,0.001271,0.02103
20140630,0.040247,0.027662,0.121165,0.032264,0.001004,0.076571,0.026186,-0.060546,0.116889,0.0475,0.020519,0.03913,0.032267,0.08605,0.073147,0.023914,0.12665,-0.012713,0.073326,0.047933,0.083985,-0.045698,0.039547,0.106469,0.032663,-0.007412,0.010964,0.009342,0.047959,0.022859,0.006172,0.009359,0.026966,0.174763,0.021065,-0.013207,-0.009503,0.074488,0.01518,0.063033,0.003494,-0.006674,-0.007343,0.020933,0.027488,0.039617,0.128215,0.139051,0.13104,0.015639,0.113756,0.108669,-0.01777,-0.011449,0.092199,-0.092987,0.02542,0.003456,0.123381,0.023782,0.018564,0.152501,-0.012847,0.054496,-0.01324,0.10118,-0.02421,0.065701,0.017912,0.010946,-0.008365,0.01885,-0.010317,-0.079782,-0.030972,0.056526,0.146239,0.054878,0.008574,0.321787,0.084276,-0.020682,0.155412,0.078042,0.017241,0.076678,0.014023,-0.025359,0.310268,0.146612,0.055208,0.057542,0.007453,0.019058
20140731,0.009516,0.028731,-0.042981,-0.082116,0.025605,-0.053743,-0.032655,0.017536,-0.07051,-0.066826,0.076202,-0.036302,0.014772,0.009542,0.003587,-0.037325,0.156523,0.060512,-0.006269,-0.037736,-0.031054,0.070182,0.012532,-0.024372,0.000931,0.02375,-0.071746,0.022938,-0.028887,-0.014794,0.002862,0.082814,0.000184,-0.049924,-0.063284,0.055334,-0.148026,0.00838,-0.098707,0.079655,0.022381,-0.07508,-0.099004,0.104209,-0.006397,-0.068054,-0.104346,-0.157158,0.096764,0.020241,0.111098,-0.015832,-0.059249,-0.054833,0.035809,-0.049778,-0.077648,-0.042279,-0.030398,-0.099535,0.035012,-0.072838,-0.133097,-0.040581,0.068045,0.072486,-0.056095,-0.057872,-0.003984,-0.004091,-0.008913,-0.01388,-0.069192,0.119482,-0.026161,0.003877,-0.079739,-0.023121,-0.027048,-0.15019,0.08092,-0.020226,-0.069816,0.006295,-0.025947,0.010065,0.000333,0.107355,-0.060942,-0.066993,0.082231,-0.044369,-0.130628,-0.01508
20140829,0.075568,0.077092,0.038269,0.030022,0.026688,0.005436,0.004612,0.064784,0.107109,0.066496,0.098909,0.08323,0.056668,0.020816,0.051832,0.183194,-0.007082,0.025868,0.152054,0.047534,0.070978,0.044565,0.046412,0.015208,0.018425,0.030117,0.031456,-0.009512,0.038436,0.05655,-0.067686,0.037354,-0.015513,0.173036,0.126191,0.050539,0.085264,0.083858,0.020854,0.029869,0.045403,0.087808,0.118409,0.174877,0,-0.004097,0.121631,0.139374,0.037032,0.014761,0.027232,0.075955,0.04976,0.048512,0.027286,0.038087,0.092537,0.004722,0.242703,0.38227,0.059082,0.067103,0.06346,0.129921,0.085479,0.051999,0.116286,0.098957,0.039867,0.015606,0.012205,0.04983,0.037982,0.108263,0.171118,0.005021,0.250284,0.073964,0.08287,0.146874,0.1184,-0.086824,0.207792,0.050492,0.04173,0.053937,0.069121,0.055967,0.052413,0.086236,0.031235,0.040584,0.034282,0.037655
20140930,0.007205,-0.017073,-0.037691,-0.024648,0.000958,0.027218,-0.051047,-0.020497,-0.064705,-0.182254,0.007749,-0.048962,-0.06925,0.02809,-0.116822,0.063711,0.017294,-0.035652,0.013199,-0.023823,-0.06023,0.033125,-0.025063,-0.035061,-0.013067,0.035018,-0.090473,0.014806,0.037205,0.067281,-0.020993,0.015371,0.045594,-0.095249,-0.058932,0.02036,0.020048,0.020023,-0.008392,0.056402,0.002559,-0.029181,-0.028374,-0.01032,0.010077,-0.049528,-0.086084,-0.095018,-0.002864,0.053739,-0.017425,0.030882,-0.025876,-0.021822,0.041302,0.052091,-0.032767,-0.049047,-0.053362,0.036874,0.020471,0.05092,-0.021042,-0.055397,0.018975,-0.027033,-0.051414,-0.001313,-0.03603,0.061224,-0.094491,0.013569,-0.017477,0.02872,0.004773,-0.030202,-0.155192,-0.038568,-0.029462,0.026592,0.024532,-0.040226,-0.100185,-0.018715,-0.01017,0.214366,-0.05141,-0.034253,0.200278,-0.094103,-0.055237,-0.042122,0.002367,-0.015514
20141031,0.083691,0.07196,0.013441,0.002627,0.126771,0.044283,0.018189,0.154022,0.022212,-0.178886,0.154635,-0.052661,0.038192,0.008703,-0.040404,-0.008621,0.094121,-0.029413,0.143293,0.042998,-0.006763,0.063287,0.072357,0.046376,0.029193,0.064236,0.067859,-0.027811,0.111354,0.037541,0.091132,-0.099663,0.080257,0.124031,0.15052,-0.07293,0.073335,-0.030244,-0.013586,-0.05124,0.074959,-0.004203,0.005541,0.052137,-0.031661,0.202325,0.174841,0.367176,-0.023263,0.00696,0.073578,0.004697,0.068876,0.084238,0.042303,-0.008569,-0.087233,0.029038,0.253106,0.100469,0.012726,-0.034151,-0.029762,-0.129461,0.000116,0.105767,0.059079,0.003361,0.169726,0.070588,0.148484,0.033086,0.05002,0.092089,0.068007,0.001325,-0.013717,-0.017192,0.032372,0.193642,0.003273,0.011084,-0.004038,0.146511,0.048438,0.022341,0.023978,0.08418,0.002938,0.157333,0.014899,0.100987,0.050295,0.023201
